id,lighting,distance,side,rotation,trial,time,frame,annotation,confidence,filename
c05,Lr,D30,Sc00,Rr,01,2,7, right, 0.86,c05_Lr_D30_Sc00_Rr_01_2.txt
c05,Lr,D30,Sc00,Rr,01,2,8, right, 0.92,c05_Lr_D30_Sc00_Rr_01_2.txt
c05,Lr,D30,Sc00,Rr,01,2,9, right, 0.92,c05_Lr_D30_Sc00_Rr_01_2.txt
c05,Lr,D30,Sc00,Rr,01,2,10, right, 0.86,c05_Lr_D30_Sc00_Rr_01_2.txt
c05,Lr,D30,Sc00,Rr,01,2,11, right, 0.89,c05_Lr_D30_Sc00_Rr_01_2.txt
c05,Lr,D30,Sc00,Rr,01,2,12, right, 0.84,c05_Lr_D30_Sc00_Rr_01_2.txt
c05,Lr,D30,Sc00,Rr,01,2,13, right, 0.96,c05_Lr_D30_Sc00_Rr_01_2.txt
c05,Lr,D30,Sc00,Rr,02,1,4, right, 0.98,c05_Lr_D30_Sc00_Rr_02_1.txt
c05,Lr,D30,Sc00,Rr,02,1,5, right, 0.98,c05_Lr_D30_Sc00_Rr_02_1.txt
c05,Lr,D30,Sc00,Rr,02,1,6, right, 0.96,c05_Lr_D30_Sc00_Rr_02_1.txt
c05,Lr,D30,Sc00,Rr,02,1,7, right, 0.93,c05_Lr_D30_Sc00_Rr_02_1.txt
c05,Lr,D30,Sc00,Rr,02,1,8, right, 0.93,c05_Lr_D30_Sc00_Rr_02_1.txt
c05,Lr,D30,Sc00,Rr,02,1,9, right, 0.92,c05_Lr_D30_Sc00_Rr_02_1.txt
c05,Lr,D30,Sc00,Rr,02,1,10, right, 0.90,c05_Lr_D30_Sc00_Rr_02_1.txt
c05,Lr,D30,Sc00,Rr,02,1,11, right, 0.93,c05_Lr_D30_Sc00_Rr_02_1.txt
c05,Lr,D30,Sc00,Rr,02,1,12, right, 0.75,c05_Lr_D30_Sc00_Rr_02_1.txt
c05,Lr,D30,Sc00,Rr,02,2,4, right, 0.91,c05_Lr_D30_Sc00_Rr_02_2.txt
c05,Lr,D30,Sc00,Rr,02,2,5, right, 0.60,c05_Lr_D30_Sc00_Rr_02_2.txt
c05,Lr,D30,Sc00,Rr,02,2,6, right, 0.87,c05_Lr_D30_Sc00_Rr_02_2.txt
c05,Lr,D30,Sc00,Rr,02,2,7, right, 0.73,c05_Lr_D30_Sc00_Rr_02_2.txt
