id,lighting,distance,side,rotation,trial,time,frame,annotation,confidence,filename
t08,Ll,D30,Sc00,Rc,03,2,9, right, 0.98,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,10, right, 0.97,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,11, right, 0.97,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,12, right, 0.97,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,13, right, 0.95,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,14, right, 0.97,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,15, right, 0.96,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,16, right, 0.97,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,17, right, 0.95,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,18, right, 0.97,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,19, right, 0.95,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,20, right, 0.96,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,21, right, 0.94,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,22, right, 0.95,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,23, right, 0.94,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,24, right, 0.94,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,25, right, 0.93,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,26, right, 0.95,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,27, right, 0.94,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,04,1,4, right, 0.95,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,5, right, 0.96,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,6, right, 0.94,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,7, right, 0.95,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,8, right, 0.95,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,9, right, 0.90,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,10, right, 0.92,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,11, right, 0.87,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,12, right, 0.85,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,13, right, 0.74,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,14, right, 0.69,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,15, right, 0.64,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,16, right, 0.66,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,17, right, 0.50,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,18, right, 0.53,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,19, right, 0.68,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,20, right, 0.70,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,21, right, 0.82,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,22, right, 0.86,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,23, right, 0.89,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,24, right, 0.93,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,25, right, 0.95,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,1,26, right, 0.95,t08_Ll_D30_Sc00_Rc_04_1.txt
t08,Ll,D30,Sc00,Rc,04,2,4, right, 0.94,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,5, right, 0.93,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,6, right, 0.89,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,7, right, 0.89,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,8, right, 0.86,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,9, right, 0.92,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,10, right, 0.91,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,11, right, 0.92,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,12, right, 0.90,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,13, right, 0.91,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,14, right, 0.93,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,15, right, 0.93,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,16, right, 0.95,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,17, right, 0.93,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,18, right, 0.96,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,19, right, 0.89,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,20, right, 0.93,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,21, right, 0.90,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,22, right, 0.95,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,23, right, 0.94,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,24, right, 0.97,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,25, right, 0.96,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,04,2,26, right, 0.98,t08_Ll_D30_Sc00_Rc_04_2.txt
t08,Ll,D30,Sc00,Rc,05,1,4, right, 1.00,t08_Ll_D30_Sc00_Rc_05_1.txt
t08,Ll,D30,Sc00,Rc,05,1,5, right, 1.00,t08_Ll_D30_Sc00_Rc_05_1.txt
t08,Ll,D30,Sc00,Rc,05,1,6, right, 1.00,t08_Ll_D30_Sc00_Rc_05_1.txt
t08,Ll,D30,Sc00,Rc,05,1,7, right, 1.00,t08_Ll_D30_Sc00_Rc_05_1.txt
t08,Ll,D30,Sc00,Rc,05,1,8, right, 1.00,t08_Ll_D30_Sc00_Rc_05_1.txt
t08,Ll,D30,Sc00,Rc,05,1,9, right, 1.00,t08_Ll_D30_Sc00_Rc_05_1.txt
